0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,Turkic_Probability,Prediction
Turkish_North_Macedonia,0.119514,0.128972,0.01961,-0.007268,0.01508,-0.000697,0.001058,0.003808,0.004602,0.006834,0.002111,0.001499,-0.000149,0.011973,-0.010247,0.004309,0.008475,0.00228,0.003268,-0.001501,-0.009858,0.001422,0.003513,0.008194,-0.000239,0,Turkic
Turkish_Rumeli,0.10927,0.093706,0.011725,-0.009015,0.004756,-0.006643,0.002478,0.00258,-0.004964,0.004175,-0.000561,0.00079,0.001108,0.001314,-0.010401,0.006497,0.00902,-0.000772,0.005371,0.001239,-0.005195,0.00154,0.001031,0.002991,0.000283,0,Turkic
Turkish_Sivas,0.10153,0.085914,-0.037637,-0.039083,-0.026159,-0.01255,0.003995,-0.001569,-0.025811,-0.002624,0.000162,0.001798,-0.002289,-0.001184,-0.00323,-0.001405,0.001017,0.001014,0.001684,-0.001876,-0.001947,0.000346,-0.00069,0.001036,0.005365,0,Turkic
Turkish_Thessaly,0.113064,0.117801,0.011816,-0.013243,0.013336,-0.004834,0.004935,-0.000462,-0.000136,0.007654,0.000487,-0.00025,-0.000694,0.01023,-0.007827,-0.002917,-0.004476,0.003083,0.002849,-0.008629,-0.004617,0.002143,-0.001027,0.004017,-0.003273,0,Turkic
Turkish_Trabzon,0.109489,0.139635,-0.055611,-0.063781,-0.02694,-0.017248,0.007683,-0.007473,-0.039111,-0.000799,0.001899,0.006963,-0.013122,0.006685,-0.010435,-0.010265,0.009679,-0.000102,-0.001233,0.003102,0.004276,0.001955,-0.000882,-0.003318,-0.00105,0,Turkic
Turkish_West_Macedonia,0.113823,0.137096,0.03017,-0.004199,0.019696,0.006972,0.00329,0.004154,-0.000614,0.001458,-0.002761,0.001049,-0.005203,0.010459,-0.008279,-0.007823,-0.007302,-0.005194,0.004399,-0.000625,-0.002745,0.0115,0.007765,-0.000723,0.002395,0,Turkic
Turkmen,0.083067,-0.046131,-0.008553,-0.004921,-0.0415,-0.003477,0.005955,0.003658,-0.017615,-0.010752,-0.009225,-0.001189,0.00136,-0.003397,0.002449,0.005083,-0.001049,0.000267,0.00065,-0.002703,-0.007497,-0.002191,-0.003983,-0.001954,0.002344,0,Turkic
Turkmen_Iran,0.084436,-0.011817,-0.022353,-0.010395,-0.04191,-0.003321,0.005832,0.001007,-0.021568,-0.010288,-0.009935,0.000586,0.001906,-0.003741,0.003813,0.006629,0.000356,0.001129,0.001508,-0.003013,-0.005649,-0.002496,-0.002902,-0.002103,0.000991,0,Turkic
Turkmen_o,0.095611,0.078196,-0.057699,-0.024871,-0.043085,0.003068,0.00705,-0.000923,-0.032315,-0.017312,-0.008931,-0.001349,-0.002527,-0.004129,0.0057,0.009812,-0.002347,0.000127,0.011439,-0.014882,-0.002995,0.000618,0.003081,-0.00494,0.008502,0,Turkic
Turkmen_Uzbekistan,0.081193,-0.053823,-0.00836,-0.004845,-0.041238,-0.003626,0.009635,0.008269,-0.013362,-0.009507,-0.006062,-0.001823,0.00109,-0.007042,0.004117,0.007646,-0.003607,0.0019,0.000587,-0.002605,-0.007237,-0.00371,-0.004047,0.000181,0.002754,0,Turkic
Tuvinian,0.051562,-0.341319,0.087228,-0.008269,-0.081277,-0.040132,0.018166,0.024345,0.006218,0.006014,0.001332,0.000659,-0.000505,-0.012414,0.000081,-0.000716,-0.005776,-0.000304,0.010722,0.014507,-0.025879,-0.000099,-0.002046,-0.002723,-0.001389,0,Turkic
Uygur,0.06575,-0.167443,0.001797,-0.00228,-0.026539,0.007415,0.006262,0.003312,-0.013667,-0.009583,-0.028504,-0.002759,0.001443,-0.006727,0.003744,0.007784,0.001764,-0.001222,-0.000843,0.000434,-0.008103,-0.000015,-0.00066,0.00202,0.002649,0,Turkic
Uzbek,0.075271,-0.102038,-0.001164,0.007106,-0.034829,0.005372,0.008062,0.005729,-0.014619,-0.009904,-0.017058,-0.00331,0.002204,-0.003859,0.00609,0.004808,-0.002931,-0.000402,0.000973,-0.001245,-0.008181,-0.002328,-0.003681,0.000126,0.001453,0,Turkic
Yakut_Sakha,0.046057,-0.377777,0.105715,-0.021468,-0.105866,-0.063607,0.029519,0.037226,0.02138,0.022942,0.027252,0.010234,-0.022246,0.063763,0.034323,0.022214,0.006258,-0.014556,-0.036794,-0.028228,-0.001163,0.032141,0.004961,-0.001149,-0.013519,0,Turkic
